urbanUtilityScalePV_GWh
urbanUtilityScalePV_GW
urbanUtilityScalePV_km2
ruralUtilityScalePV_GWh
ruralUtilityScalePV_GW
ruralUtilityScalePV_km2
rooftopPV_GWh
rooftopPV_GW
CSP_GWh
CSP_GW
CSP_km2
onshoreWind_GWh
onshoreWind_GW
onshoreWind_km2
offshoreWind_GWh
offshoreWind_GW
offshoreWind_km2
biopowerSolid_GWh
biopowerSolid_GW
biopowerSolid_BDT
biopowerGaseous_GWh
biopowerGaseous_GW
biopowerGaseous_Tonnes-CH4
geothermalHydrothermal_GWh
geothermalHydrothermal_GW
EGSGeothermal_GWh
EGSGeothermal_GW
hydropower_GWh
